Var1,Var2,Freq,value,min_species_for_fit,order,frac,data_type,tag
P._albicans,A,-6.9796216685266375,-6.9796216685266375,1,3,-1,natural,2025-01-17 19:36:473
Other_species,A,-3.5937856310357987,-3.5937856310357987,1,3,-1,natural,2025-01-17 19:36:473
H._squamatum,A,-3.7958998635876955,-3.7958998635876955,1,3,-1,restoration,2025-01-17 19:36:413
H._syriacum,A,-2.610456663134437,-2.610456663134437,1,3,-1,restoration,2025-01-17 19:36:413
T._zygis,A,-1.3225490319824367,-1.3225490319824367,1,3,-1,restoration,2025-01-17 19:36:413
U._sp,A,-4.215167529488743,-4.215167529488743,1,3,-1,restoration,2025-01-17 19:36:413
L._subulatum,A,-4.134742337862435,-4.134742337862435,1,3,-1,restoration,2025-01-17 19:36:413
O._tridentata,A,-4.02495451470851,-4.02495451470851,1,3,-1,restoration,2025-01-17 19:36:413
P._albicans,A,-4.160067743636344,-4.160067743636344,1,3,-1,restoration,2025-01-17 19:36:413
Other_species,A,-2.6431488445543527,-2.6431488445543527,1,3,-1,restoration,2025-01-17 19:36:413
H._squamatum,A,-2.7224225014417645,-2.7224225014417645,1,3,-1,natural,2025-01-17 19:36:413
H._syriacum,A,-3.2009953517502696,-3.2009953517502696,1,3,-1,natural,2025-01-17 19:36:413
T._zygis,A,-3.5399240612735166,-3.5399240612735166,1,3,-1,natural,2025-01-17 19:36:413
U._sp,A,-4.524832239535974,-4.524832239535974,1,3,-1,natural,2025-01-17 19:36:413
L._subulatum,A,-5.461085858484801,-5.461085858484801,1,3,-1,natural,2025-01-17 19:36:413
O._tridentata,A,-5.9800435256123965,-5.9800435256123965,1,3,-1,natural,2025-01-17 19:36:413
P._albicans,A,-5.751116754422928,-5.751116754422928,1,3,-1,natural,2025-01-17 19:36:413
Other_species,A,-3.452793417727579,-3.452793417727579,1,3,-1,natural,2025-01-17 19:36:413
H._squamatum,A,-3.8581789359729557,-3.8581789359729557,1,3,-1,restoration,2025-01-17 19:36:343
H._syriacum,A,-2.3023695019077626,-2.3023695019077626,1,3,-1,restoration,2025-01-17 19:36:343
T._zygis,A,-1.2490248228849576,-1.2490248228849576,1,3,-1,restoration,2025-01-17 19:36:343
U._sp,A,-3.9231039522199236,-3.9231039522199236,1,3,-1,restoration,2025-01-17 19:36:343
L._subulatum,A,-3.6078188338744974,-3.6078188338744974,1,3,-1,restoration,2025-01-17 19:36:343
O._tridentata,A,-5.106230457489617,-5.106230457489617,1,3,-1,restoration,2025-01-17 19:36:343
P._albicans,A,-4.1600162110758765,-4.1600162110758765,1,3,-1,restoration,2025-01-17 19:36:343
Other_species,A,-3.136637976427727,-3.136637976427727,1,3,-1,restoration,2025-01-17 19:36:343
H._squamatum,A,-3.060090010539723,-3.060090010539723,1,3,-1,natural,2025-01-17 19:36:343
